zip,type,year_built,listPrice,lastSoldPrice,list_to_sold_ratio,sqft,price_per_sqft,stories,beds,baths,baths_full,baths_full_calc,property_age,price_diff,price_ratio,price_change_pct
99350,7,1925,429803,414907,0.97,1370,302.85,1,3,1,1,2,101,14896,1.04,0.04
98233,7,1954,299098,306076,1.02,980,312.32,1,3,1,1,2,72,-6978,0.98,-0.02
98233,7,2010,395962,395051,1,1150,343.52,2,2,3,2,2,16,911,1,0
98004,0,2009,725051,710074,0.98,810,680.56,1,1.5,1,1,2,17,14977,1.02,0.02
98117,7,1942,974944,1019912,1.03,1740,586.16,1,3,1,1,2,84,-33595,0.96,-0.04
98034,7,1971,1222787,1462187.5,0.97,2790,605.71,2,4,3,3,2,55,43901,0.84,-0.16
98405,7,1909,499858,519931,1.03,3130,166.11,2,4,2,1,2,117,-20073,0.96,-0.04
98626,3,1992,110095,92832,0.96,1810,324.3,2,3,2,2,2,34,17263,1.19,0.19
98133,7,1948,690057,675080,0.98,1750,385.76,1,3,1,1,2,78,14977,1.02,0.02
98103,7,1922,800038,1008596,1.03,2110,478.01,2,5,1,1,2,104,-33595,0.79,-0.21
98038,7,1994,599059,575062,0.96,1230,467.53,1,3,2,1,2,32,23997,1.04,0.04
98110,7,1975,1119932,1084936,0.97,3865,269.21,1,3,4,1,2,51,34996,1.03,0.03
98023,7,1986,1222787,1450057,0.97,3510,413.12,1,4,4,1,2,40,43901,0.84,-0.16
98021,7,1977,949914,924917,0.97,2690,343.84,2,4,3,3,2,49,24997,1.03,0.03
99403,7,1995,439905,251923,0.96,2220,113.48,2,4,3,3,2,31,43901,1.75,0.75
99205,7,1953,389052,372567,0.96,1930,193.04,1,4,1,1,2,73,16485,1.04,0.04
98571,7,2022,925060,925085,1,1320,680.56,2,3,3,1,2,4,-25,1,0
98036,7,1990,944936,899931,0.96,1950,461.5,1,3,2,2,2,36,43901,1.05,0.05
98524,0,2000,509935,484941,0.96,1710,283.59,1,2,2,2,2,26,24994,1.05,0.05
99344,7,2025,360000,359977,1,1280,281.23,1,3,2,1,2,1,23,1,0
98329,7,1993,445089,444928,1,1370,324.76,3,3,2,1,2,33,161,1,0
98942,7,1982,384934,365695,0.96,1570,232.93,1,3,2,2,2,44,19239,1.05,0.05
98682,7,2026,543799,543772,1,1670,325.61,2,3,2,2,2,0,27,1,0
98072,7,1965,815075,843904,1.03,1260,669.77,1,3,2,1,2,61,-28829,0.97,-0.03
98603,7,2022,599924,589939,0.98,1600,368.71,1,3,2,2,2,4,9985,1.02,0.02
98223,7,2004,640022,639436,1,1700,376.14,2,4,3,2,2,22,586,1,0
98005,0,1969,399943,389922,0.97,690,565.1,1,1.5,1,2,2,57,10021,1.03,0.03
98902,7,1965,335097,351948,1.03,1600,219.97,1,3,2,1,2,61,-16851,0.95,-0.05
98603,7,2022,590050,590057,1,1600,368.79,1,3,2,2,2,4,-7,1,0
99338,7,2006,414842,426922,1.03,1900,224.7,2,3,3,1,2,20,-12080,0.97,-0.03
98036,7,1991,849939,819925,0.96,2090,392.31,2,4,3,2,2,35,30014,1.04,0.04
98930,7,2025,401914,401933,1,1530,262.7,1,3,2,1,2,1,-19,1,0
